Source,Target,Weight
0_0.9991,2_0.7296,0_0.7347
0_0.9991,3_0.7207,1_0.7152
0_0.9991,4_0.7296,2_0.7229
0_0.9991,5_0.7227,3_0.7208
0_0.9991,6_0.7232,4_0.7180
0_0.9991,7_0.7221,5_0.7210
0_0.9991,8_0.7232,6_0.7195
2_0.7296,2_0.7296,0_1.
2_0.7296,3_0.7207,1_0.4688
2_0.7296,4_0.7282,2_0.5817
2_0.7296,5_0.7227,3_0.5938
2_0.7296,6_0.7232,4_0.5625
2_0.7296,7_0.7221,5_0.6094
2_0.7296,8_0.7232,6_0.5156
4_0.7296,2_0.7296,0_0.5817
4_0.7296,3_0.7207,1_0.5814
4_0.7296,9_0.9792,2_0.6454
4_0.7296,5_0.7227,3_0.6434
4_0.7296,6_0.7232,4_0.5816
4_0.7296,7_0.7221,5_0.5967
4_0.7296,8_0.7232,6_0.5036
9_0.9792,2_0.7296,0_0.6853
9_0.9792,10_0.9892,1_0.9579
9_0.9792,4_0.7261,2_0.6454
9_0.9792,5_0.7227,3_0.6872
9_0.9792,6_0.7232,4_0.6637
9_0.9792,7_0.7221,5_0.6849
9_0.9792,8_0.7232,6_0.7016
10_0.9892,2_0.7296,0_0.7096
10_0.9892,3_0.7207,1_0.8021
10_0.9892,11_0.9879,2_0.9978
10_0.9892,5_0.7227,3_0.7216
10_0.9892,6_0.7232,4_0.7364
10_0.9892,7_0.7221,5_0.7309
10_0.9892,8_0.7232,6_0.7212
11_0.9879,2_0.7296,0_0.7071
11_0.9879,3_0.7207,1_0.7909
11_0.9879,1_0.9996,2_0.9879
11_0.9879,5_0.7227,3_0.7193
11_0.9879,6_0.7232,4_0.7301
11_0.9879,7_0.7221,5_0.7263
11_0.9879,8_0.7232,6_0.7090
