,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
start,0.6613883,0.47204906,0.29130396,0.56902426,0.45047197,0.47586504,0.5810713,0.51083416,0.53296065,0.5129034,0.5342984,0.4318641,0.48148507,0.44251218,0.603796,0.61081,0.41716933,0.5208706,0.5112895,0.48450106,0.54765624,0.5342086,0.45498225,0.5383946,0.6414422,0.524416,0.5503652,0.41346925,0.5759578,0.63444686,0.55436563,0.5094798,0.50294876,0.48704225,0.46357247,0.5017259,0.60337824,0.497257,0.4908811,0.52741426,0.5003125,0.56490254,0.56483734,0.50238043,0.5597384,0.51913196,0.51237017,0.5100141,0.57791585,0.45905262,0.59995115,0.5167613,0.52609456,0.5587569,0.41560718,0.61650723,0.49647322,0.5012349,0.48507026,0.4378157,0.4507316,0.5406855,0.46917632,0.47651446
goal,0.59835815,0.45745668,0.36951762,0.56279445,0.40536082,0.4818217,0.56315607,0.55471945,0.478938,0.46893418,0.5060013,0.42106995,0.4594097,0.48640642,0.602018,0.6020332,0.43801,0.5043082,0.50128156,0.4867994,0.55146164,0.49988517,0.48189044,0.54219425,0.62139314,0.50637466,0.5631961,0.43111253,0.5443995,0.5844057,0.53948414,0.478737,0.55085206,0.45391634,0.45152742,0.52615106,0.5742179,0.5189911,0.452859,0.49098244,0.4818889,0.57289577,0.5697678,0.53641427,0.5102242,0.48727217,0.5021473,0.52962387,0.52925503,0.45075712,0.5722242,0.52033013,0.5152358,0.5412475,0.48742977,0.5981978,0.4940061,0.49801242,0.5128387,0.43849084,0.43647125,0.5393178,0.4827548,0.49895993
0,0.6613883,0.47204906,0.29130396,0.56902426,0.45047197,0.47586504,0.5810713,0.51083416,0.53296065,0.5129034,0.5342984,0.4318641,0.48148507,0.44251218,0.603796,0.61081,0.41716933,0.5208706,0.5112895,0.48450106,0.54765624,0.5342086,0.45498225,0.5383946,0.6414422,0.524416,0.5503652,0.41346925,0.5759578,0.63444686,0.55436563,0.5094798,0.50294876,0.48704225,0.46357247,0.5017259,0.60337824,0.497257,0.4908811,0.52741426,0.5003125,0.56490254,0.56483734,0.50238043,0.5597384,0.51913196,0.51237017,0.5100141,0.57791585,0.45905262,0.59995115,0.5167613,0.52609456,0.5587569,0.41560718,0.61650723,0.49647322,0.5012349,0.48507026,0.4378157,0.4507316,0.5406855,0.46917632,0.47651446
1,0.6065185,0.33676022,0.30865246,0.57528204,0.38885215,0.41875583,0.5517961,0.36782712,0.50777054,0.5245528,0.6856732,0.585749,0.48865423,0.54255235,0.43067703,0.5345533,0.5544068,0.43837875,0.5032549,0.5682752,0.45234296,0.619434,0.5275958,0.5504079,0.54438186,0.65152377,0.53450316,0.50672,0.34783855,0.63625956,0.54979295,0.42699078,0.52545315,0.48928308,0.5348058,0.408346,0.38784963,0.3459441,0.5085574,0.5602103,0.41826317,0.5118586,0.55946946,0.39443943,0.6223479,0.56629467,0.55329585,0.52929705,0.45469603,0.5268024,0.47428378,0.4434825,0.5384852,0.48926455,0.65174043,0.4773354,0.5284982,0.45138386,0.42580962,0.2780675,0.46832097,0.61856055,0.5274392,0.31081468
2,0.6613883,0.47204906,0.29130396,0.56902426,0.45047197,0.47586504,0.5810713,0.51083416,0.53296065,0.5129034,0.5342984,0.4318641,0.48148507,0.44251218,0.603796,0.61081,0.41716933,0.5208706,0.5112895,0.48450106,0.54765624,0.5342086,0.45498225,0.5383946,0.6414422,0.524416,0.5503652,0.41346925,0.5759578,0.63444686,0.55436563,0.5094798,0.50294876,0.48704225,0.46357247,0.5017259,0.60337824,0.497257,0.4908811,0.52741426,0.5003125,0.56490254,0.56483734,0.50238043,0.5597384,0.51913196,0.51237017,0.5100141,0.57791585,0.45905262,0.59995115,0.5167613,0.52609456,0.5587569,0.41560718,0.61650723,0.49647322,0.5012349,0.48507026,0.4378157,0.4507316,0.5406855,0.46917632,0.47651446
2_0,0.6065185,0.33676022,0.30865246,0.57528204,0.38885215,0.41875583,0.5517961,0.36782712,0.50777054,0.5245528,0.6856732,0.585749,0.48865423,0.54255235,0.43067703,0.5345533,0.5544068,0.43837875,0.5032549,0.5682752,0.45234296,0.619434,0.5275958,0.5504079,0.54438186,0.65152377,0.53450316,0.50672,0.34783855,0.63625956,0.54979295,0.42699078,0.52545315,0.48928308,0.5348058,0.408346,0.38784963,0.3459441,0.5085574,0.5602103,0.41826317,0.5118586,0.55946946,0.39443943,0.6223479,0.56629467,0.55329585,0.52929705,0.45469603,0.5268024,0.47428378,0.4434825,0.5384852,0.48926455,0.65174043,0.4773354,0.5284982,0.45138386,0.42580962,0.2780675,0.46832097,0.61856055,0.5274392,0.31081468
3,0.44333845,0.51523656,0.38266745,0.49836487,0.5958184,0.50690275,0.3861692,0.5256505,0.65469474,0.46343893,0.43976948,0.5293544,0.6015729,0.41062784,0.6259924,0.47837293,0.62500393,0.569527,0.50000685,0.47615233,0.48841125,0.41248855,0.5929674,0.46282607,0.5694006,0.4618782,0.47366634,0.6311408,0.5408717,0.44357574,0.47666192,0.6231584,0.5916416,0.53212833,0.4655648,0.46120477,0.47188345,0.5161466,0.58883315,0.5442935,0.3246968,0.59416646,0.48612177,0.5889741,0.5484224,0.34333432,0.48530683,0.5906799,0.4924965,0.40699917,0.3904522,0.552725,0.57350373,0.5330513,0.43857077,0.34722963,0.3484527,0.5444916,0.5821289,0.54761803,0.590184,0.43841174,0.61014813,0.58218706
4,0.6613883,0.47204906,0.29130396,0.56902426,0.45047197,0.47586504,0.5810713,0.51083416,0.53296065,0.5129034,0.5342984,0.4318641,0.48148507,0.44251218,0.603796,0.61081,0.41716933,0.5208706,0.5112895,0.48450106,0.54765624,0.5342086,0.45498225,0.5383946,0.6414422,0.524416,0.5503652,0.41346925,0.5759578,0.63444686,0.55436563,0.5094798,0.50294876,0.48704225,0.46357247,0.5017259,0.60337824,0.497257,0.4908811,0.52741426,0.5003125,0.56490254,0.56483734,0.50238043,0.5597384,0.51913196,0.51237017,0.5100141,0.57791585,0.45905262,0.59995115,0.5167613,0.52609456,0.5587569,0.41560718,0.61650723,0.49647322,0.5012349,0.48507026,0.4378157,0.4507316,0.5406855,0.46917632,0.47651446
4_1,0.44333845,0.51523656,0.38266745,0.49836487,0.5958184,0.50690275,0.3861692,0.5256505,0.65469474,0.46343893,0.43976948,0.5293544,0.6015729,0.41062784,0.6259924,0.47837293,0.62500393,0.569527,0.50000685,0.47615233,0.48841125,0.41248855,0.5929674,0.46282607,0.5694006,0.4618782,0.47366634,0.6311408,0.5408717,0.44357574,0.47666192,0.6231584,0.5916416,0.53212833,0.4655648,0.46120477,0.47188345,0.5161466,0.58883315,0.5442935,0.3246968,0.59416646,0.48612177,0.5889741,0.5484224,0.34333432,0.48530683,0.5906799,0.4924965,0.40699917,0.3904522,0.552725,0.57350373,0.5330513,0.43857077,0.34722963,0.3484527,0.5444916,0.5821289,0.54761803,0.590184,0.43841174,0.61014813,0.58218706
5,0.5276391,0.5073853,0.5814443,0.49639994,0.428096,0.4758645,0.5945275,0.6979941,0.40217763,0.27887228,0.35975718,0.4496048,0.4482887,0.44571626,0.52619725,0.5448289,0.6092306,0.46960193,0.56605273,0.47353885,0.5109935,0.44890043,0.49508843,0.45059296,0.4416281,0.5998144,0.6019492,0.5195757,0.43187204,0.5031804,0.42216396,0.40223217,0.5256164,0.5788309,0.7374484,0.48145157,0.41759852,0.5487506,0.5337343,0.55950344,0.4261136,0.4287071,0.4954646,0.55145943,0.58560777,0.5123809,0.4307246,0.5151736,0.4849082,0.39212918,0.4924197,0.49850887,0.4822391,0.61534595,0.55930763,0.5134139,0.5257177,0.4591548,0.5099713,0.40378645,0.40855724,0.45419583,0.4922413,0.43179697
