,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
start,0.6613883,0.47204906,0.29130396,0.56902426,0.45047197,0.47586504,0.5810713,0.51083416,0.53296065,0.5129034,0.5342984,0.4318641,0.48148507,0.44251218,0.603796,0.61081,0.41716933,0.5208706,0.5112895,0.48450106,0.54765624,0.5342086,0.45498225,0.5383946,0.6414422,0.524416,0.5503652,0.41346925,0.5759578,0.63444686,0.55436563,0.5094798,0.50294876,0.48704225,0.46357247,0.5017259,0.60337824,0.497257,0.4908811,0.52741426,0.5003125,0.56490254,0.56483734,0.50238043,0.5597384,0.51913196,0.51237017,0.5100141,0.57791585,0.45905262,0.59995115,0.5167613,0.52609456,0.5587569,0.41560718,0.61650723,0.49647322,0.5012349,0.48507026,0.4378157,0.4507316,0.5406855,0.46917632,0.47651446
goal,0.59835815,0.45745668,0.36951762,0.56279445,0.40536082,0.4818217,0.56315607,0.55471945,0.478938,0.46893418,0.5060013,0.42106995,0.4594097,0.48640642,0.602018,0.6020332,0.43801,0.5043082,0.50128156,0.4867994,0.55146164,0.49988517,0.48189044,0.54219425,0.62139314,0.50637466,0.5631961,0.43111253,0.5443995,0.5844057,0.53948414,0.478737,0.55085206,0.45391634,0.45152742,0.52615106,0.5742179,0.5189911,0.452859,0.49098244,0.4818889,0.57289577,0.5697678,0.53641427,0.5102242,0.48727217,0.5021473,0.52962387,0.52925503,0.45075712,0.5722242,0.52033013,0.5152358,0.5412475,0.48742977,0.5981978,0.4940061,0.49801242,0.5128387,0.43849084,0.43647125,0.5393178,0.4827548,0.49895993
0,0.6613883,0.47204906,0.29130396,0.56902426,0.45047197,0.47586504,0.5810713,0.51083416,0.53296065,0.5129034,0.5342984,0.4318641,0.48148507,0.44251218,0.603796,0.61081,0.41716933,0.5208706,0.5112895,0.48450106,0.54765624,0.5342086,0.45498225,0.5383946,0.6414422,0.524416,0.5503652,0.41346925,0.5759578,0.63444686,0.55436563,0.5094798,0.50294876,0.48704225,0.46357247,0.5017259,0.60337824,0.497257,0.4908811,0.52741426,0.5003125,0.56490254,0.56483734,0.50238043,0.5597384,0.51913196,0.51237017,0.5100141,0.57791585,0.45905262,0.59995115,0.5167613,0.52609456,0.5587569,0.41560718,0.61650723,0.49647322,0.5012349,0.48507026,0.4378157,0.4507316,0.5406855,0.46917632,0.47651446
1,0.99999714,3.8999788e-06,3.1263626e-06,0.9999968,2.8933498e-06,3.6219208e-06,3.4431423e-06,4.6100304e-06,0.99999654,0.9999962,0.9999958,0.9999956,0.9999964,0.9999963,4.6514942e-06,3.9668307e-06,0.9999958,3.5503665e-06,0.9999969,0.99999607,4.1229982e-06,0.99999595,0.9999963,0.9999969,4.153176e-06,0.9999958,3.7578595e-06,0.9999963,4.509428e-06,0.99999666,0.9999969,3.5757323e-06,3.5336996e-06,0.9999963,0.9999962,4.1695785e-06,4.6613654e-06,4.4133985e-06,0.9999962,0.9999962,3.5733185e-06,3.877579e-06,3.5141106e-06,4.348076e-06,0.99999595,0.9999962,0.99999654,3.2887208e-06,3.9632046e-06,0.99999607,4.2342945e-06,3.90987e-06,0.99999666,3.7525415e-06,0.9999957,4.3771915e-06,0.9999964,3.6148087e-06,4.023954e-06,3.95786e-06,0.99999654,0.9999962,0.9999964,4.3906575e-06
2,0.6613883,0.47204906,0.29130396,0.56902426,0.45047197,0.47586504,0.5810713,0.51083416,0.53296065,0.5129034,0.5342984,0.4318641,0.48148507,0.44251218,0.603796,0.61081,0.41716933,0.5208706,0.5112895,0.48450106,0.54765624,0.5342086,0.45498225,0.5383946,0.6414422,0.524416,0.5503652,0.41346925,0.5759578,0.63444686,0.55436563,0.5094798,0.50294876,0.48704225,0.46357247,0.5017259,0.60337824,0.497257,0.4908811,0.52741426,0.5003125,0.56490254,0.56483734,0.50238043,0.5597384,0.51913196,0.51237017,0.5100141,0.57791585,0.45905262,0.59995115,0.5167613,0.52609456,0.5587569,0.41560718,0.61650723,0.49647322,0.5012349,0.48507026,0.4378157,0.4507316,0.5406855,0.46917632,0.47651446
2_0,0.99999714,3.8999788e-06,3.1263626e-06,0.9999968,2.8933498e-06,3.6219208e-06,3.4431423e-06,4.6100304e-06,0.99999654,0.9999962,0.9999958,0.9999956,0.9999964,0.9999963,4.6514942e-06,3.9668307e-06,0.9999958,3.5503665e-06,0.9999969,0.99999607,4.1229982e-06,0.99999595,0.9999963,0.9999969,4.153176e-06,0.9999958,3.7578595e-06,0.9999963,4.509428e-06,0.99999666,0.9999969,3.5757323e-06,3.5336996e-06,0.9999963,0.9999962,4.1695785e-06,4.6613654e-06,4.4133985e-06,0.9999962,0.9999962,3.5733185e-06,3.877579e-06,3.5141106e-06,4.348076e-06,0.99999595,0.9999962,0.99999654,3.2887208e-06,3.9632046e-06,0.99999607,4.2342945e-06,3.90987e-06,0.99999666,3.7525415e-06,0.9999957,4.3771915e-06,0.9999964,3.6148087e-06,4.023954e-06,3.95786e-06,0.99999654,0.9999962,0.9999964,4.3906575e-06
3,0.00014913312,0.99988174,0.99988496,0.00013622222,0.99985313,0.9998995,0.00014920026,0.00012284923,0.9998673,0.00010231439,0.00012183023,0.99987316,0.999866,0.00012527048,0.99991643,0.00014485423,0.99986315,0.9998934,0.00011125296,0.00010838566,0.00012780816,0.0001293646,0.999881,0.00013066971,0.00013453055,0.0001189639,0.00014061038,0.99986076,0.00012324959,0.00013821006,0.00012785045,0.99987245,0.9999113,0.99987996,0.9998934,0.0001235884,0.00014177333,0.00010774429,0.99986875,0.9998852,0.00012944826,0.9999131,0.00013753446,0.9998951,0.9999001,0.00012764898,0.00011895097,0.9998983,0.00012083928,0.00010930859,0.00014682907,0.9998987,0.99989486,0.00011857295,0.000117364136,0.00015414422,0.00013000293,0.99989724,0.9998969,0.999874,0.9998604,0.00013439708,0.99987376,0.9998919
4,0.6613883,0.47204906,0.29130396,0.56902426,0.45047197,0.47586504,0.5810713,0.51083416,0.53296065,0.5129034,0.5342984,0.4318641,0.48148507,0.44251218,0.603796,0.61081,0.41716933,0.5208706,0.5112895,0.48450106,0.54765624,0.5342086,0.45498225,0.5383946,0.6414422,0.524416,0.5503652,0.41346925,0.5759578,0.63444686,0.55436563,0.5094798,0.50294876,0.48704225,0.46357247,0.5017259,0.60337824,0.497257,0.4908811,0.52741426,0.5003125,0.56490254,0.56483734,0.50238043,0.5597384,0.51913196,0.51237017,0.5100141,0.57791585,0.45905262,0.59995115,0.5167613,0.52609456,0.5587569,0.41560718,0.61650723,0.49647322,0.5012349,0.48507026,0.4378157,0.4507316,0.5406855,0.46917632,0.47651446
4_1,0.00014913312,0.99988174,0.99988496,0.00013622222,0.99985313,0.9998995,0.00014920026,0.00012284923,0.9998673,0.00010231439,0.00012183023,0.99987316,0.999866,0.00012527048,0.99991643,0.00014485423,0.99986315,0.9998934,0.00011125296,0.00010838566,0.00012780816,0.0001293646,0.999881,0.00013066971,0.00013453055,0.0001189639,0.00014061038,0.99986076,0.00012324959,0.00013821006,0.00012785045,0.99987245,0.9999113,0.99987996,0.9998934,0.0001235884,0.00014177333,0.00010774429,0.99986875,0.9998852,0.00012944826,0.9999131,0.00013753446,0.9998951,0.9999001,0.00012764898,0.00011895097,0.9998983,0.00012083928,0.00010930859,0.00014682907,0.9998987,0.99989486,0.00011857295,0.000117364136,0.00015414422,0.00013000293,0.99989724,0.9998969,0.999874,0.9998604,0.00013439708,0.99987376,0.9998919
5,0.0036330202,0.9970095,0.9923828,0.003652813,0.99812335,0.0004823821,0.99287874,0.993978,0.0027977084,0.0056854375,0.005413782,0.99667203,0.0021495658,0.0048430418,0.0044491654,0.0032301915,0.9953381,0.0024630819,0.9945087,0.0064497343,0.0037326405,0.0028859137,0.00057177764,0.006243031,0.0033003716,0.9931084,0.993664,0.99510914,0.004282877,0.0020459343,0.0036787344,0.0021927475,0.0050651957,0.9960316,0.99758327,0.00522597,0.004410982,0.99480295,0.99754995,0.99922717,0.0035491432,0.0043244767,0.0053947386,0.9972356,0.99879164,0.9933981,0.0043550916,0.0059909094,0.0030301418,0.0033308782,0.0025995343,0.0004913873,0.0016379444,0.99308383,0.9942912,0.0026738935,0.99414474,0.000891932,0.00058348256,0.0007359487,0.0023944222,0.00482305,0.99257576,0.0052897
